,BE,CH,DE,ES,IT,UK,IE,NL,PT
2022-10-28,9226.127261157042,6670.8571209040165,53842.364912247875,26199.91490516057,32427.384450127938,25325.040274009225,3906.361843246692,13141.063045539746,5917.783231519652
2022-10-29,8287.503654813856,6202.527081572477,45741.0477366451,22843.409524275943,26482.123752527827,22539.50303016034,3556.0809555240894,11760.496047206476,5171.90395157322
2022-10-30,8015.082185083624,6199.423104719782,43067.75885770338,21414.896024828537,23756.704495276877,22125.58068440597,3397.9127461977523,11368.02290059984,4901.447129910775
2022-10-31,9043.140713798937,6755.927492823001,54111.85517049318,24135.35024051671,29096.453261422663,25595.601550264502,3465.230135499225,13112.946010342645,5640.938167532
2022-11-01,8224.972249188626,7215.59611092826,56722.59145321009,21685.64381424703,23851.393718693118,27603.469814625227,4000.1841188925996,13663.13170596557,5090.799469991012
2022-11-02,9536.478697094943,7230.712692182528,56918.97441211575,26830.341132777274,33262.921916151696,27557.175143429064,4011.4160804172316,13695.974925982076,6169.0819964030725
2022-11-03,9568.26448894867,7173.177864925925,56870.69451651364,26792.30991746768,33257.149481435205,27465.64093485895,4013.815962710476,13736.689209823822,6179.657712474522
2022-11-04,9436.017325262044,7080.7749793272205,55440.952907230996,26470.662694579063,32522.073673544182,26863.632359512936,3959.0174357103483,13541.017724583626,6107.135571599889
2022-11-05,8497.393718918858,6612.444939995681,47339.63573162822,23114.157313694435,26576.812975944067,24078.095115664044,3699.5873680126097,12160.450726250356,5361.256291653457
2022-11-06,8224.972249188626,6609.340963142986,44666.3468526865,21685.64381424703,23851.393718693118,23664.17276990968,3608.736547987746,11767.97757964372,5090.799469991012
2022-11-07,9394.413191625128,7165.845351246205,55710.4431654763,25922.296850609917,31547.62733527946,27134.193635768206,3939.100078831252,13512.900689386524,5933.236470392172
